c Basic Line Mesh
c 15 x 50 vertices, degree d, range [0,50]
p max 752 5926
n 1 s
n 752 t
a 1 51 1000
a 1 50 1000
a 1 49 1000
a 1 48 1000
a 1 47 1000
a 1 46 1000
a 1 45 1000
a 1 44 1000
a 1 43 1000
a 1 42 1000
a 1 41 1000
a 1 40 1000
a 1 39 1000
a 1 38 1000
a 1 37 1000
a 1 36 1000
a 1 35 1000
a 1 34 1000
a 1 33 1000
a 1 32 1000
a 1 31 1000
a 1 30 1000
a 1 29 1000
a 1 28 1000
a 1 27 1000
a 1 26 1000
a 1 25 1000
a 1 24 1000
a 1 23 1000
a 1 22 1000
a 1 21 1000
a 1 20 1000
a 1 19 1000
a 1 18 1000
a 1 17 1000
a 1 16 1000
a 1 15 1000
a 1 14 1000
a 1 13 1000
a 1 12 1000
a 1 11 1000
a 1 10 1000
a 1 9 1000
a 1 8 1000
a 1 7 1000
a 1 6 1000
a 1 5 1000
a 1 4 1000
a 1 3 1000
a 1 2 1000
a 2 214 9
a 2 144 3
a 2 176 11
a 2 336 16
a 2 670 17
a 2 450 19
a 2 295 10
a 2 156 2
a 2 439 4
a 2 498 20
a 2 494 18
a 2 648 18
a 2 708 3
a 2 727 5
a 2 44 8
a 3 25 17
a 3 208 2
a 3 433 11
a 3 541 7
a 3 127 13
a 3 10 18
a 3 354 14
a 3 152 18
a 3 110 10
a 4 296 1
a 4 100 19
a 4 542 19
a 4 129 20
a 4 96 14
a 4 535 15
a 4 11 2
a 4 388 5
a 4 258 9
a 4 462 20
a 4 512 9
a 4 196 2
a 4 579 17
a 5 478 3
a 5 515 7
a 5 287 9
a 5 586 16
a 5 206 13
a 5 529 15
a 5 599 3
a 5 491 12
a 5 701 17
a 5 208 9
a 5 115 16
a 5 309 12
a 5 304 19
a 5 255 18
a 5 606 11
a 5 122 20
a 5 319 19
a 5 313 13
a 5 473 19
a 5 633 3
a 6 562 7
a 6 728 18
a 6 292 10
a 6 592 10
a 6 9 8
a 6 262 17
a 6 368 20
a 6 17 4
a 6 107 20
a 6 719 14
a 6 82 19
a 6 399 1
a 6 706 6
a 6 28 13
a 6 329 2
a 6 149 10
a 7 694 20
a 7 657 13
a 7 32 15
a 7 474 15
a 7 458 5
a 7 543 15
a 7 230 15
a 7 704 18
a 7 489 6
a 7 490 3
a 7 264 12
a 7 61 19
a 7 679 6
a 7 622 8
a 7 742 19
a 7 424 9
a 7 703 3
a 7 201 15
a 7 457 14
a 8 244 5
a 8 409 12
a 8 573 14
a 8 151 19
a 8 540 7
a 8 234 12
a 8 102 3
a 8 14 19
a 8 570 15
a 8 134 17
a 8 536 6
a 8 136 20
a 8 611 5
a 8 177 16
a 8 282 15
a 8 686 1
a 8 27 11
a 8 579 6
a 9 557 4
a 9 336 20
a 9 40 19
a 9 626 1
a 9 35 18
a 9 205 8
a 9 133 6
a 9 433 19
a 9 639 19
a 9 637 14
a 9 135 1
a 9 392 10
a 9 119 3
a 9 268 12
a 9 237 1
a 9 325 4
a 9 597 9
a 9 310 5
a 9 662 11
a 10 228 12
a 10 123 4
a 10 533 8
a 10 407 4
a 10 727 13
a 10 567 10
a 10 346 18
a 10 504 13
a 10 361 15
a 10 119 15
a 10 271 5
a 11 52 1
a 11 185 12
a 11 190 15
a 11 436 14
a 11 123 6
a 11 654 11
a 11 312 10
a 11 560 18
a 11 717 11
a 11 188 6
a 11 568 9
a 11 246 1
a 11 213 12
a 11 217 10
a 11 382 16
a 11 733 13
a 11 337 13
a 11 187 18
a 11 253 11
a 11 450 19
a 11 360 13
a 11 79 16
a 12 719 19
a 12 176 3
a 12 516 4
a 12 117 20
a 12 511 16
a 12 88 6
a 12 540 11
a 12 183 13
a 12 726 19
a 12 228 5
a 12 614 12
a 12 326 14
a 12 574 20
a 12 62 3
a 12 621 5
a 12 277 1
a 12 118 10
a 12 348 12
a 13 63 8
a 13 151 9
a 13 457 1
a 13 361 11
a 13 42 4
a 13 579 10
a 13 101 11
a 13 384 7
a 13 522 9
a 13 379 15
a 13 276 19
a 13 60 2
a 13 427 1
a 13 378 9
a 13 485 3
