c Mesh Graph
c 50 Rows, 50 columns, capacities in range [0, 50]
p max 2502 7450
n 1 s
n 2502 t
a 1 51 150
a 1 50 150
a 1 49 150
a 1 48 150
a 1 47 150
a 1 46 150
a 1 45 150
a 1 44 150
a 1 43 150
a 1 42 150
a 1 41 150
a 1 40 150
a 1 39 150
a 1 38 150
a 1 37 150
a 1 36 150
a 1 35 150
a 1 34 150
a 1 33 150
a 1 32 150
a 1 31 150
a 1 30 150
a 1 29 150
a 1 28 150
a 1 27 150
a 1 26 150
a 1 25 150
a 1 24 150
a 1 23 150
a 1 22 150
a 1 21 150
a 1 20 150
a 1 19 150
a 1 18 150
a 1 17 150
a 1 16 150
a 1 15 150
a 1 14 150
a 1 13 150
a 1 12 150
a 1 11 150
a 1 10 150
a 1 9 150
a 1 8 150
a 1 7 150
a 1 6 150
a 1 5 150
a 1 4 150
a 1 3 150
a 1 2 150
a 2 53 35
a 2 52 18
a 2 101 42
a 3 54 25
a 3 53 20
a 3 52 1
a 4 55 13
a 4 54 9
a 4 53 29
a 5 56 46
a 5 55 6
a 5 54 15
a 6 57 12
a 6 56 28
a 6 55 32
a 7 58 43
a 7 57 46
a 7 56 42
a 8 59 42
a 8 58 37
a 8 57 28
a 9 60 4
a 9 59 3
a 9 58 5
a 10 61 22
a 10 60 33
a 10 59 43
a 11 62 46
a 11 61 19
a 11 60 17
a 12 63 22
a 12 62 27
a 12 61 48
a 13 64 13
a 13 63 20
a 13 62 39
a 14 65 36
a 14 64 50
a 14 63 18
a 15 66 12
a 15 65 4
a 15 64 45
a 16 67 24
a 16 66 34
a 16 65 23
a 17 68 12
a 17 67 42
a 17 66 15
a 18 69 48
a 18 68 19
a 18 67 4
a 19 70 8
a 19 69 13
a 19 68 45
a 20 71 24
a 20 70 10
a 20 69 38
a 21 72 29
a 21 71 30
a 21 70 42
a 22 73 41
a 22 72 36
a 22 71 17
a 23 74 7
a 23 73 39
a 23 72 43
a 24 75 15
a 24 74 43
a 24 73 41
a 25 76 6
a 25 75 47
a 25 74 49
a 26 77 21
a 26 76 30
a 26 75 41
a 27 78 2
a 27 77 7
a 27 76 1
a 28 79 30
a 28 78 49
a 28 77 44
a 29 80 5
a 29 79 35
a 29 78 24
a 30 81 17
a 30 80 41
a 30 79 7
a 31 82 9
a 31 81 32
a 31 80 27
a 32 83 27
a 32 82 40
a 32 81 45
a 33 84 39
a 33 83 38
a 33 82 24
a 34 85 30
a 34 84 33
a 34 83 19
a 35 86 16
a 35 85 34
a 35 84 42
a 36 87 5
a 36 86 9
a 36 85 40
a 37 88 7
a 37 87 28
a 37 86 31
a 38 89 22
a 38 88 37
a 38 87 24
a 39 90 23
a 39 89 25
a 39 88 46
a 40 91 28
a 40 90 30
a 40 89 21
a 41 92 13
a 41 91 48
a 41 90 24
a 42 93 12
a 42 92 41
a 42 91 37
a 43 94 18
a 43 93 6
a 43 92 37
a 44 95 32
a 44 94 25
a 44 93 6
a 45 96 1
a 45 95 1
a 45 94 3
a 46 97 17
a 46 96 25
a 46 95 42
a 47 98 42
a 47 97 8
a 47 96 31
a 48 99 8
a 48 98 38
a 48 97 8
a 49 100 34
a 49 99 4
a 49 98 38
a 50 101 10
a 50 100 10
a 50 99 46
a 51 52 39
a 51 101 22
a 51 100 9
a 52 103 7
a 52 102 47
a 52 151 23
a 53 104 19
a 53 103 14
a 53 102 31
a 54 105 13
a 54 104 42
a 54 103 1
a 55 106 10
a 55 105 11
a 55 104 6
a 56 107 49
a 56 106 38
a 56 105 25
a 57 108 42
a 57 107 46
a 57 106 34
a 58 109 42
a 58 108 1
a 58 107 3
a 59 110 21
a 59 109 25
a 59 108 37
a 60 111 49
a 60 110 22
a 60 109 47
a 61 112 35
a 61 111 19
a 61 110 50
a 62 113 4
a 62 112 35
a 62 111 32
a 63 114 39
a 63 113 19
a 63 112 50
a 64 115 28
a 64 114 39
a 64 113 1
a 65 116 44
a 65 115 29
a 65 114 18
a 66 117 8
a 66 116 34
a 66 115 49
a 67 118 18
a 67 117 11
a 67 116 22
a 68 119 10
a 68 118 15
a 68 117 14
a 69 120 2
a 69 119 36
a 69 118 17
a 70 121 20
a 70 120 50
a 70 119 1
a 71 122 4
a 71 121 49
a 71 120 7
a 72 123 45
a 72 122 9
a 72 121 25
a 73 124 3
a 73 123 40
a 73 122 10
a 74 125 44
a 74 124 36
a 74 123 46
a 75 126 38
a 75 125 24
a 75 124 44
a 76 127 49
a 76 126 4
a 76 125 15
a 77 128 19
a 77 127 9
a 77 126 1
a 78 129 49
a 78 128 47
a 78 127 31
a 79 130 49
a 79 129 40
a 79 128 32
a 80 131 23
a 80 130 8
a 80 129 10
a 81 132 43
a 81 131 39
a 81 130 23
a 82 133 41
a 82 132 30
a 82 131 39
a 83 134 42
a 83 133 9
a 83 132 8
a 84 135 7
a 84 134 39
a 84 133 16
a 85 136 35
a 85 135 3
a 85 134 12
a 86 137 29
