c Basic Line Mesh
c 20 x 50 vertices, degree d, range [0,50]
p max 1002 10345
n 1 s
n 1002 t
a 1 51 1000
a 1 50 1000
a 1 49 1000
a 1 48 1000
a 1 47 1000
a 1 46 1000
a 1 45 1000
a 1 44 1000
a 1 43 1000
a 1 42 1000
a 1 41 1000
a 1 40 1000
a 1 39 1000
a 1 38 1000
a 1 37 1000
a 1 36 1000
a 1 35 1000
a 1 34 1000
a 1 33 1000
a 1 32 1000
a 1 31 1000
a 1 30 1000
a 1 29 1000
a 1 28 1000
a 1 27 1000
a 1 26 1000
a 1 25 1000
a 1 24 1000
a 1 23 1000
a 1 22 1000
a 1 21 1000
a 1 20 1000
a 1 19 1000
a 1 18 1000
a 1 17 1000
a 1 16 1000
a 1 15 1000
a 1 14 1000
a 1 13 1000
a 1 12 1000
a 1 11 1000
a 1 10 1000
a 1 9 1000
a 1 8 1000
a 1 7 1000
a 1 6 1000
a 1 5 1000
a 1 4 1000
a 1 3 1000
a 1 2 1000
a 2 756 3
a 2 214 1
a 2 144 7
a 2 176 9
a 2 336 3
a 2 670 11
a 2 450 16
a 2 295 17
a 2 156 19
a 2 439 10
a 2 498 2
a 2 494 4
a 2 784 20
a 2 648 18
a 2 708 18
a 2 727 3
a 2 970 5
a 2 44 8
a 3 577 12
a 3 833 15
a 3 25 16
a 3 208 8
a 3 433 16
a 3 541 17
a 3 127 2
a 3 10 11
a 3 354 7
a 3 894 13
a 3 152 18
a 4 704 8
a 4 841 4
a 4 296 9
a 4 100 14
a 4 542 9
a 4 129 8
a 4 96 8
a 4 905 9
a 4 535 1
a 4 11 19
a 4 388 19
a 4 258 20
a 4 462 14
a 4 512 15
a 4 196 2
a 4 935 5
a 5 464 2
a 5 696 12
a 5 478 3
a 5 515 19
a 5 804 2
a 5 287 17
a 5 586 5
a 5 964 3
a 5 206 10
a 5 529 14
a 5 599 16
a 5 491 7
a 5 701 3
a 5 208 7
a 5 115 9
a 5 850 16
a 5 309 13
a 5 304 15
a 5 255 3
a 5 606 12
a 5 122 17
a 5 319 9
a 6 567 12
a 6 152 17
a 6 941 2
a 6 562 15
a 6 728 15
a 6 939 16
a 6 292 3
a 6 592 9
a 6 9 6
a 6 262 7
a 6 908 17
a 6 368 18
a 6 17 16
a 6 107 14
a 6 719 10
a 6 82 7
a 6 399 18
a 6 983 10
a 6 706 10
a 7 210 8
a 7 466 14
a 7 530 1
a 7 821 3
a 7 694 6
a 7 657 13
a 7 32 9
a 7 474 4
a 7 458 11
a 7 543 14
a 7 230 18
a 7 704 19
a 7 489 18
a 7 490 8
a 7 829 11
a 7 264 14
a 7 953 20
a 7 816 13
a 7 920 15
a 7 61 15
a 7 794 5
a 8 167 7
a 8 528 3
a 8 204 10
a 8 149 5
a 8 59 19
a 8 769 4
a 8 842 8
a 8 244 17
a 8 983 16
a 8 869 11
a 8 409 18
a 8 573 11
a 8 151 7
a 8 1001 1
a 8 540 8
a 8 234 1
a 8 102 13
a 8 14 20
a 8 570 5
a 8 134 19
a 8 536 5
a 9 270 17
a 9 517 6
a 9 875 4
a 9 88 11
a 9 223 13
a 9 910 17
a 9 861 16
a 9 198 5
a 9 557 12
a 9 781 1
a 9 336 6
a 9 40 5
a 9 626 14
a 9 770 9
a 9 35 1
a 9 205 11
a 9 771 2
a 9 133 8
a 9 433 14
a 9 639 9
a 9 637 18
a 9 135 5
a 9 997 18
a 10 186 17
a 10 252 15
a 10 449 18
a 10 359 15
a 10 78 14
a 10 922 2
a 10 118 20
a 10 474 19
a 10 43 11
a 10 228 4
a 10 123 6
a 10 533 15
a 10 407 7
a 10 782 11
a 10 868 2
a 10 727 6
a 11 276 13
a 11 117 2
a 11 347 5
a 11 157 13
a 11 101 14
a 11 681 4
a 11 707 16
a 11 624 18
