c Exponential Line
c 50 x 100 vertices, degree 20, range [0,20]
p max 5002 80446
n 1 s
n 5002 t
a 1 101 400
a 1 100 400
a 1 99 400
a 1 98 400
a 1 97 400
a 1 96 400
a 1 95 400
a 1 94 400
a 1 93 400
a 1 92 400
a 1 91 400
a 1 90 400
a 1 89 400
a 1 88 400
a 1 87 400
a 1 86 400
a 1 85 400
a 1 84 400
a 1 83 400
a 1 82 400
a 1 81 400
a 1 80 400
a 1 79 400
a 1 78 400
a 1 77 400
a 1 76 400
a 1 75 400
a 1 74 400
a 1 73 400
a 1 72 400
a 1 71 400
a 1 70 400
a 1 69 400
a 1 68 400
a 1 67 400
a 1 66 400
a 1 65 400
a 1 64 400
a 1 63 400
a 1 62 400
a 1 61 400
a 1 60 400
a 1 59 400
a 1 58 400
a 1 57 400
a 1 56 400
a 1 55 400
a 1 54 400
a 1 53 400
a 1 52 400
a 1 51 400
a 1 50 400
a 1 49 400
a 1 48 400
a 1 47 400
a 1 46 400
a 1 45 400
a 1 44 400
a 1 43 400
a 1 42 400
a 1 41 400
a 1 40 400
a 1 39 400
a 1 38 400
a 1 37 400
a 1 36 400
a 1 35 400
a 1 34 400
a 1 33 400
a 1 32 400
a 1 31 400
a 1 30 400
a 1 29 400
a 1 28 400
a 1 27 400
a 1 26 400
a 1 25 400
a 1 24 400
a 1 23 400
a 1 22 400
a 1 21 400
a 1 20 400
a 1 19 400
a 1 18 400
a 1 17 400
a 1 16 400
a 1 15 400
a 1 14 400
a 1 13 400
a 1 12 400
a 1 11 400
a 1 10 400
a 1 9 400
a 1 8 400
a 1 7 400
a 1 6 400
a 1 5 400
a 1 4 400
a 1 3 400
a 1 2 400
a 2 394 28704
a 2 1439 13
a 2 1945 2
a 2 998 911
a 2 494 25668
a 2 1964 1
a 2 830 1870
a 2 1284 71
a 2 148 14772
a 2 1708 6
a 2 467 5448
a 2 965 366
a 2 1361 77
a 2 1481 51
a 2 1727 6
a 2 1172 183
a 2 503 293
a 2 337 154
a 2 470 3903
a 2 44 14605
a 3 320 19630
a 3 782 3549
a 3 1533 28
a 3 1745 1
a 3 727 7195
a 3 863 3633
a 3 41 24371
a 3 761 6730
a 3 666 266
a 3 1648 1
a 3 1551 12
a 3 872 3119
a 3 257 19265
a 3 1715 4
a 3 1145 257
a 3 668 14482
a 3 1677 4
a 3 337 1843
a 3 1326 109
a 3 1815 4
a 4 838 551
a 4 546 16513
a 4 934 1192
a 4 87 15574
a 4 123 26778
a 4 1543 2
a 4 1542 9
a 4 1328 41
a 4 631 11300
a 4 444 28746
a 4 949 1116
a 4 313 22387
a 4 1936 2
a 4 1381 111
a 4 971 307
a 4 1845 3
a 4 761 7081
a 4 1959 1
a 4 89 4640
a 4 628 15491
a 5 1463 26
a 5 1343 70
a 5 13 18763
a 5 197 32592
a 5 1113 413
a 5 1436 11
a 5 1972 2
a 5 1730 4
a 5 947 165
a 5 1156 59
a 5 1356 79
a 5 58 18589
a 5 37 24222
a 5 1580 25
a 5 1661 5
a 5 773 1098
a 5 361 14946
a 5 642 10384
a 5 1167 426
a 5 1296 88
a 6 288 14310
a 6 491 9515
a 6 1675 14
a 6 1206 274
a 6 1355 37
a 6 28 2422
a 6 603 17808
a 6 1027 36
a 6 1381 5
a 6 843 3176
a 6 298 3729
a 6 357 468
a 6 1609 8
a 6 48 3789
a 6 1602 19
a 6 490 27939
a 6 1555 7
a 6 544 2000
a 6 1631 9
a 6 366 4735
a 7 531 6039
a 7 351 12293
a 7 1101 971
a 7 493 23623
a 7 1203 465
a 7 710 3722
a 7 997 668
a 7 617 5174
a 7 1852 2
a 7 1016 642
a 7 232 14799
a 7 311 19797
a 7 806 4957
a 7 1564 16
a 7 527 13459
a 7 1257 69
a 7 608 7449
a 7 1459 49
a 7 943 20
a 7 1624 13
a 8 1878 2
a 8 442 26870
a 8 884 1474
a 8 895 2511
a 8 371 2601
a 8 655 10713
a 8 337 5076
a 8 64 24390
a 8 281 27893
a 8 643 12852
a 8 211 3558
a 8 1520 27
a 8 1165 262
a 8 897 3028
