c Square Mesh
c 12 x 12 vertices, 12 degree, range [0,12]
p max 146 1542
n 1 s
n 146 t
a 1 13 36
a 1 12 36
a 1 11 36
a 1 10 36
a 1 9 36
a 1 8 36
a 1 7 36
a 1 6 36
a 1 5 36
a 1 4 36
a 1 3 36
a 1 2 36
a 2 25 6
a 2 24 6
a 2 23 9
a 2 22 11
a 2 21 7
a 2 20 7
a 2 19 5
a 2 18 6
a 2 17 5
a 2 16 11
a 2 15 12
a 2 14 6
a 3 26 10
a 3 25 3
a 3 24 1
a 3 23 4
a 3 22 1
a 3 21 4
a 3 20 3
a 3 19 8
a 3 18 12
a 3 17 2
a 3 16 4
a 3 15 2
a 4 27 5
a 4 26 10
a 4 25 7
a 4 24 12
a 4 23 7
a 4 22 12
a 4 21 12
a 4 20 3
a 4 19 9
a 4 18 10
a 4 17 11
a 4 16 5
a 5 28 8
a 5 27 10
a 5 26 9
a 5 25 10
a 5 24 10
a 5 23 3
a 5 22 4
a 5 21 12
a 5 20 7
a 5 19 8
a 5 18 8
a 5 17 12
a 6 29 11
a 6 28 2
a 6 27 10
a 6 26 12
a 6 25 8
a 6 24 10
a 6 23 10
a 6 22 11
a 6 21 9
a 6 20 12
a 6 19 5
a 6 18 6
a 7 30 10
a 7 29 3
a 7 28 5
a 7 27 5
a 7 26 3
a 7 25 5
a 7 24 11
a 7 23 1
a 7 22 7
a 7 21 3
a 7 20 12
a 7 19 5
a 8 31 11
a 8 30 1
a 8 29 12
a 8 28 10
a 8 27 9
a 8 26 10
a 8 25 10
a 8 24 7
a 8 23 3
a 8 22 11
a 8 21 10
a 8 20 3
a 9 32 11
a 9 31 6
a 9 30 8
a 9 29 3
a 9 28 4
a 9 27 1
a 9 26 5
a 9 25 12
a 9 24 9
a 9 23 11
a 9 22 9
a 9 21 1
a 10 33 3
a 10 32 10
a 10 31 7
a 10 30 1
a 10 29 7
a 10 28 8
a 10 27 12
a 10 26 10
a 10 25 6
a 10 24 10
a 10 23 7
a 10 22 3
a 11 34 1
a 11 33 10
a 11 32 10
a 11 31 6
a 11 30 10
a 11 29 7
a 11 28 5
a 11 27 9
a 11 26 6
a 11 25 6
a 11 24 7
a 11 23 6
a 12 35 11
a 12 34 3
a 12 33 5
a 12 32 12
a 12 31 11
a 12 30 4
a 12 29 12
a 12 28 12
a 12 27 1
a 12 26 6
a 12 25 7
a 12 24 11
a 13 36 4
a 13 35 10
a 13 34 12
a 13 33 2
a 13 32 10
a 13 31 8
a 13 30 12
a 13 29 4
a 13 28 11
a 13 27 11
a 13 26 5
a 13 25 10
a 14 37 9
a 14 36 10
a 14 35 11
a 14 34 3
a 14 33 11
a 14 32 3
a 14 31 1
a 14 30 6
a 14 29 3
a 14 28 2
a 14 27 6
a 14 26 6
a 15 38 10
