c Random 2 Leveled Graph
c 50 Rows, 70 columns, capacities in range [0, 50]
p max 3502 10450
n 1 s
n 3502 t
a 1 51 150
a 1 50 150
a 1 49 150
a 1 48 150
a 1 47 150
a 1 46 150
a 1 45 150
a 1 44 150
a 1 43 150
a 1 42 150
a 1 41 150
a 1 40 150
a 1 39 150
a 1 38 150
a 1 37 150
a 1 36 150
a 1 35 150
a 1 34 150
a 1 33 150
a 1 32 150
a 1 31 150
a 1 30 150
a 1 29 150
a 1 28 150
a 1 27 150
a 1 26 150
a 1 25 150
a 1 24 150
a 1 23 150
a 1 22 150
a 1 21 150
a 1 20 150
a 1 19 150
a 1 18 150
a 1 17 150
a 1 16 150
a 1 15 150
a 1 14 150
a 1 13 150
a 1 12 150
a 1 11 150
a 1 10 150
a 1 9 150
a 1 8 150
a 1 7 150
a 1 6 150
a 1 5 150
a 1 4 150
a 1 3 150
a 1 2 150
a 2 86 25
a 2 69 20
a 2 93 1
a 3 64 46
a 3 60 6
a 3 80 15
a 4 63 43
a 4 79 46
a 4 83 42
a 5 93 4
a 5 88 3
a 5 79 5
a 6 73 46
a 6 84 19
a 6 94 17
a 7 73 13
a 7 78 20
a 7 99 39
a 8 87 12
a 8 101 4
a 8 69 45
a 9 75 12
a 9 85 42
a 9 74 15
a 10 99 8
a 10 70 13
a 10 55 45
a 11 75 29
a 11 61 30
a 11 89 42
a 12 92 7
a 12 87 39
a 12 68 43
a 13 66 6
a 13 94 47
a 13 92 49
a 14 72 2
a 14 81 7
a 14 92 1
a 15 81 5
a 15 100 35
a 15 95 24
a 16 68 9
a 16 92 32
a 16 58 27
a 17 78 39
a 17 91 38
a 17 96 24
a 18 81 16
a 18 84 34
a 18 70 42
a 19 56 7
a 19 60 28
a 19 91 31
a 20 73 23
a 20 88 25
a 20 75 46
a 21 79 13
a 21 81 48
a 21 72 24
a 22 63 18
a 22 92 6
a 22 88 37
a 23 83 1
a 23 76 1
a 23 57 3
a 24 68 42
a 24 76 8
a 24 93 31
a 25 55 10
a 25 89 46
a 25 59 34
a 26 73 47
a 26 60 23
a 26 61 39
a 27 65 42
a 27 82 1
a 27 58 19
a 28 62 38
a 28 57 25
a 28 64 10
a 29 97 1
a 29 85 3
a 29 100 42
a 30 76 22
a 30 88 47
a 30 93 21
a 31 70 35
a 31 101 32
a 31 100 35
a 32 70 39
a 32 101 1
a 32 55 39
a 33 80 34
a 33 69 49
a 33 79 44
a 34 62 15
a 34 73 14
a 34 59 18
a 35 87 50
a 35 68 1
a 35 61 2
a 36 100 9
a 36 58 25
a 36 71 4
a 37 91 36
a 37 61 46
a 37 96 3
a 38 89 49
a 38 75 4
a 38 95 15
a 39 70 49
a 39 60 47
a 39 52 31
a 40 100 23
a 40 91 8
a 40 83 10
a 41 94 41
a 41 90 30
a 41 74 39
a 42 93 7
a 42 60 39
a 42 59 16
a 43 86 29
a 43 54 6
a 43 63 23
a 44 88 20
a 44 64 34
a 44 98 26
a 45 68 23
a 45 96 49
a 45 94 32
a 46 101 43
a 46 73 27
a 46 53 8
a 47 64 4
a 47 77 11
a 47 91 1
a 48 90 6
a 48 63 40
a 48 71 2
a 49 87 39
a 49 54 36
a 49 75 33
a 50 59 20
a 50 69 33
a 50 78 33
a 51 91 19
a 51 73 30
a 51 56 27
a 52 107 42
a 52 127 50
a 52 144 35
a 53 112 40
a 53 147 4
a 53 114 19
a 54 148 50
a 54 131 30
a 54 125 38
a 55 151 48
a 55 118 46
a 55 139 44
a 56 107 6
a 56 138 33
a 56 118 39
a 57 103 37
a 57 116 22
a 57 136 17
a 58 137 9
a 58 107 13
a 58 115 4
a 59 115 9
a 59 147 22
a 59 134 7
a 60 133 23
a 60 134 47
a 60 148 45
a 61 137 17
a 61 113 24
a 61 131 1
a 62 144 25
a 62 111 4
a 62 146 40
a 63 147 14
a 63 112 37
a 63 106 50
a 64 120 6
a 64 124 38
a 64 126 19
a 65 104 15
a 65 143 28
a 65 110 26
a 66 136 10
a 66 126 23
a 66 116 25
a 67 139 28
a 67 122 19
a 67 135 48
a 68 115 36
a 68 122 43
a 68 125 19
a 69 115 50
a 69 132 3
a 69 104 28
a 70 145 23
a 70 127 24
a 70 129 25
a 71 105 44
a 71 133 6
a 71 113 33
a 72 144 37
a 72 133 23
a 72 127 43
a 73 139 25
a 73 102 14
a 73 116 11
a 74 135 47
a 74 137 11
a 74 122 12
a 75 102 46
a 75 137 45
a 75 119 41
a 76 127 9
a 76 121 45
a 76 126 27
a 77 118 2
a 77 123 44
a 77 104 29
a 78 116 1
a 78 120 3
a 78 136 20
a 79 128 21
a 79 112 8
a 79 139 11
a 80 129 15
