c Square Mesh
c 10 x 10 vertices, 10 degree, range [0,10]
p max 102 875
n 1 s
n 102 t
a 1 11 30
a 1 10 30
a 1 9 30
a 1 8 30
a 1 7 30
a 1 6 30
a 1 5 30
a 1 4 30
a 1 3 30
a 1 2 30
a 2 21 5
a 2 20 3
a 2 19 9
a 2 18 9
a 2 17 5
a 2 16 10
a 2 15 1
a 2 14 5
a 2 13 8
a 2 12 2
a 3 22 7
a 3 21 8
a 3 20 3
a 3 19 6
a 3 18 2
a 3 17 2
a 3 16 8
a 3 15 2
a 3 14 6
a 3 13 6
a 4 23 6
a 4 22 9
a 4 21 7
a 4 20 2
a 4 19 3
a 4 18 3
a 4 17 4
a 4 16 3
a 4 15 5
a 4 14 2
a 5 24 5
a 5 23 6
a 5 22 10
a 5 21 8
a 5 20 3
a 5 19 10
a 5 18 9
a 5 17 2
a 5 16 7
a 5 15 8
a 6 25 9
a 6 24 4
a 6 23 2
a 6 22 2
a 6 21 5
a 6 20 4
a 6 19 4
a 6 18 3
a 6 17 2
a 6 16 4
a 7 26 9
a 7 25 10
a 7 24 2
a 7 23 4
a 7 22 10
a 7 21 8
a 7 20 8
a 7 19 3
a 7 18 5
a 7 17 8
a 8 27 9
a 8 26 5
a 8 25 3
a 8 24 1
a 8 23 7
a 8 22 9
a 8 21 3
a 8 20 1
a 8 19 6
a 8 18 7
a 9 28 9
a 9 27 4
a 9 26 2
a 9 25 7
a 9 24 1
a 9 23 1
a 9 22 10
a 9 21 1
a 9 20 6
a 9 19 7
a 10 29 9
a 10 28 2
a 10 27 7
a 10 26 7
a 10 25 1
a 10 24 7
a 10 23 5
a 10 22 5
a 10 21 4
a 10 20 10
a 11 30 2
a 11 29 10
a 11 28 3
a 11 27 9
a 11 26 9
a 11 25 8
a 11 24 4
a 11 23 7
a 11 22 10
a 11 21 5
a 12 31 7
a 12 30 4
a 12 29 7
a 12 28 8
a 12 27 1
a 12 26 5
a 12 25 9
a 12 24 10
a 12 23 6
a 12 22 4
a 13 32 3
a 13 31 8
a 13 30 4
a 13 29 8
a 13 28 10
a 13 27 1
a 13 26 3
a 13 25 5
a 13 24 6
a 13 23 2
a 14 33 3
a 14 32 2
a 14 31 5
a 14 30 6
a 14 29 8
a 14 28 6
a 14 27 7
a 14 26 2
a 14 25 1
a 14 24 7
a 15 34 8
a 15 33 8
a 15 32 2
a 15 31 8
a 15 30 1
a 15 29 7
a 15 28 5
a 15 27 2
a 15 26 1
a 15 25 1
a 16 35 9
a 16 34 2
a 16 33 9
a 16 32 10
a 16 31 10
a 16 30 6
a 16 29 4
a 16 28 4
a 16 27 8
a 16 26 8
a 17 36 6
a 17 35 3
a 17 34 2
a 17 33 1
a 17 32 9
a 17 31 4
a 17 30 1
a 17 29 7
a 17 28 7
a 17 27 3
a 18 37 1
a 18 36 3
a 18 35 2
a 18 34 6
a 18 33 4
a 18 32 9
a 18 31 8
a 18 30 5
a 18 29 10
a 18 28 1
a 19 38 5
a 19 37 9
a 19 36 10
a 19 35 9
a 19 34 2
a 19 33 7
a 19 32 1
a 19 31 5
a 19 30 7
a 19 29 2
a 20 39 8
a 20 38 8
a 20 37 9
a 20 36 1
a 20 35 9
a 20 34 9
a 20 33 10
a 20 32 4
a 20 31 5
a 20 30 2
a 21 40 5
a 21 39 4
a 21 38 8
a 21 37 1
a 21 36 2
a 21 35 8
a 21 34 4
a 21 33 9
a 21 32 4
a 21 31 9
a 22 41 4
a 22 40 9
a 22 39 7
a 22 38 10
a 22 37 10
a 22 36 1
a 22 35 2
a 22 34 6
a 22 33 7
a 22 32 10
a 23 42 4
a 23 41 4
a 23 40 6
a 23 39 6
a 23 38 3
a 23 37 10
a 23 36 10
a 23 35 5
a 23 34 9
a 23 33 5
a 24 43 7
a 24 42 1
a 24 41 9
a 24 40 9
a 24 39 1
a 24 38 9
a 24 37 4
a 24 36 5
a 24 35 8
a 24 34 4
a 25 44 3
a 25 43 9
a 25 42 3
a 25 41 3
a 25 40 8
a 25 39 10
a 25 38 9
a 25 37 10
a 25 36 2
a 25 35 9
a 26 45 2
a 26 44 7
a 26 43 9
a 26 42 6
a 26 41 2
a 26 40 9
a 26 39 8
a 26 38 1
a 26 37 10
a 26 36 9
a 27 46 4
a 27 45 6
a 27 44 7
a 27 43 3
a 27 42 7
a 27 41 9
a 27 40 6
a 27 39 3
a 27 38 5
a 27 37 3
a 28 47 10
a 28 46 2
a 28 45 2
a 28 44 3
a 28 43 9
a 28 42 2
a 28 41 7
a 28 40 5
a 28 39 3
a 28 38 10
a 29 48 10
a 29 47 4
a 29 46 1
a 29 45 1
a 29 44 3
a 29 43 6
a 29 42 10
a 29 41 3
a 29 40 7
a 29 39 8
a 30 49 6
a 30 48 3
a 30 47 6
a 30 46 3
a 30 45 4
a 30 44 6
a 30 43 10
a 30 42 2
a 30 41 9
a 30 40 2
a 31 50 10
a 31 49 2
a 31 48 5
a 31 47 10
a 31 46 3
a 31 45 3
a 31 44 8
a 31 43 8
a 31 42 7
a 31 41 9
a 32 51 3
a 32 50 2
a 32 49 10
a 32 48 5
a 32 47 6
a 32 46 6
a 32 45 3
a 32 44 9
a 32 43 10
a 32 42 7
a 33 52 10
a 33 51 8
a 33 50 7
a 33 49 10
a 33 48 4
a 33 47 10
a 33 46 4
a 33 45 9
a 33 44 1
a 33 43 6
a 34 53 6
a 34 52 7
a 34 51 7
a 34 50 8
a 34 49 6
a 34 48 4
a 34 47 10
a 34 46 7
a 34 45 8
a 34 44 10
a 35 54 4
a 35 53 7
a 35 52 2
a 35 51 7
a 35 50 2
a 35 49 5
a 35 48 5
a 35 47 6
a 35 46 3
a 35 45 9
a 36 55 7
a 36 54 4
a 36 53 6
a 36 52 3
a 36 51 9
a 36 50 3
a 36 49 4
a 36 48 6
a 36 47 6
a 36 46 4
a 37 56 2
a 37 55 10
a 37 54 3
a 37 53 7
a 37 52 5
a 37 51 2
a 37 50 3
a 37 49 7
a 37 48 9
a 37 47 2
a 38 57 5
a 38 56 4
a 38 55 10
a 38 54 3
a 38 53 10
a 38 52 5
a 38 51 7
a 38 50 4
a 38 49 1
a 38 48 6
a 39 58 9
a 39 57 9
a 39 56 3
a 39 55 5
a 39 54 4
a 39 53 7
a 39 52 10
a 39 51 6
a 39 50 1
a 39 49 5
a 40 59 5
a 40 58 5
a 40 57 5
a 40 56 8
a 40 55 6
a 40 54 3
a 40 53 2
a 40 52 9
a 40 51 6
a 40 50 8
a 41 60 8
a 41 59 9
a 41 58 8
a 41 57 8
a 41 56 1
a 41 55 4
a 41 54 10
a 41 53 3
a 41 52 5
a 41 51 5
a 42 61 8
a 42 60 4
a 42 59 1
a 42 58 3
a 42 57 6
a 42 56 3
a 42 55 9
a 42 54 4
a 42 53 1
a 42 52 4
a 43 62 2
a 43 61 2
a 43 60 3
a 43 59 4
a 43 58 5
a 43 57 4
a 43 56 6
a 43 55 8
a 43 54 10
a 43 53 3
a 44 63 7
a 44 62 3
a 44 61 3
a 44 60 3
a 44 59 2
a 44 58 6
a 44 57 4
a 44 56 6
a 44 55 3
a 44 54 4
a 45 64 4
a 45 63 6
a 45 62 1
a 45 61 1
a 45 60 5
a 45 59 4
a 45 58 1
a 45 57 8
a 45 56 1
a 45 55 5
a 46 65 5
a 46 64 6
a 46 63 5
a 46 62 1
a 46 61 1
a 46 60 6
a 46 59 8
a 46 58 7
a 46 57 1
a 46 56 2
a 47 66 4
a 47 65 9
a 47 64 7
a 47 63 2
a 47 62 3
a 47 61 9
a 47 60 5
a 47 59 7
a 47 58 6
a 47 57 10
a 48 67 7
a 48 66 1
a 48 65 8
a 48 64 1
a 48 63 3
a 48 62 10
a 48 61 5
a 48 60 9
a 48 59 5
a 48 58 2
a 49 68 10
